index,mean_test_acc,mean_val_loss,mean_val_loss_iteration,min_val_loss,min_val_loss_acc,min_val_loss_iteration,min_val_loss_per_pruned,patience,pruning_rate,round,strategy,super_winning_ticket_percentage,units_first_layer,units_second_layer,winning_ticket_percentage
0,0,0.976881807500666,0.0872343351895159,2572.7272727272725,0.08168616145849228,0.9789000153541564,2100.0,86.42,5,0.2,1,1,0.8666666666666667,300,100,0.7333333333333333
1,1,0.9760454567995942,0.08853087506510994,2818.181818181818,0.08574485778808594,0.9751999974250792,2000.0,83.06,5,0.2,1,1,0.6666666666666666,240,80,0.7333333333333333
2,2,0.9749090888283468,0.09496071528304707,2800.0,0.08801350742578506,0.9749000072479248,2600.0,73.64,5,0.2,1,1,0.8666666666666667,192,64,0.7333333333333333
3,3,0.9728299915790558,0.09627385586500167,3120.0,0.09225326776504517,0.9739999771118164,3100.0,67.1,5,0.2,1,1,0.5333333333333333,153,51,0.6666666666666666
4,4,0.9711750000715256,0.1045743552967906,3400.0,0.10006444901227952,0.9710999727249146,3000.0,58.93,5,0.2,1,1,0.06666666666666668,122,40,0.5333333333333333
5,5,0.9710999998179348,0.10949719494039364,3854.5454545454545,0.10695290565490724,0.9714999794960022,2300.0,67.1,5,0.2,1,1,0.06666666666666668,97,32,0.7333333333333333
6,6,0.9683571457862854,0.11415058480841772,3900.0,0.10682275146245956,0.9689000248908995,3400.0,48.71,5,0.2,1,1,0.0,77,25,0.4666666666666667
7,7,0.9681000113487244,0.11536139249801634,5500.0,0.11536139249801634,0.9681000113487244,5500.0,35.93,5,0.2,1,1,0.0,61,20,0.06666666666666668
8,8,0.9649666746457418,0.13571331898371378,4500.0,0.13448181748390198,0.9641000032424928,3900.0,35.93,5,0.2,1,1,0.0,48,16,0.2
9,9,,,,,,,,5,0.2,1,1,0.0,38,12,0.0
10,10,0.9567666451136272,0.1699323852856954,6866.666666666668,0.16655780375003815,0.9571999907493592,5500.0,48.71,5,0.2,1,1,0.0,30,9,0.2
11,11,,,,,,,,5,0.2,1,1,0.0,24,7,0.0
12,12,0.9758692246216994,0.08784272235173446,2484.615384615385,0.08146457374095918,0.9768999814987184,1800.0,78.88,5,0.2,2,1,0.8,300,100,0.8666666666666667
13,13,0.974884610909682,0.09193584552178016,2676.923076923077,0.08580832183361052,0.9746000170707704,1800.0,73.64,5,0.2,2,1,0.7333333333333333,240,80,0.8666666666666667
14,14,0.9753999710083008,0.09023793786764144,3500.0,0.09023793786764144,0.9753999710083008,3500.0,86.41,5,0.2,2,1,0.6,192,64,0.06666666666666668
15,15,0.9753000140190125,0.09918477386236192,3700.0,0.09918477386236192,0.9753000140190125,3700.0,78.87,5,0.2,2,1,0.06666666666666668,153,51,0.06666666666666668
16,16,0.972787506878376,0.10426946729421616,3525.0,0.10120394080877304,0.972599983215332,4000.0,48.71,5,0.2,2,1,0.06666666666666668,122,40,0.5333333333333333
17,17,0.9704222215546502,0.10825738807519276,3444.4444444444453,0.09873570501804352,0.9733999967575072,3600.0,58.92,5,0.2,2,1,0.0,97,32,0.6
18,18,0.9702166616916656,0.11368464678525925,4083.333333333334,0.1113896742463112,0.9702000021934508,3800.0,48.71,5,0.2,2,1,0.0,77,25,0.4
19,19,0.9688250124454498,0.11958558857440947,5450.0,0.11623667180538175,0.9695000052452089,5200.0,58.92,5,0.2,2,1,0.0,61,20,0.26666666666666666
20,20,0.964300000667572,0.1349559634923935,5140.0,0.12926632165908813,0.9652000069618224,4600.0,35.93,5,0.2,2,1,0.0,48,16,0.3333333333333333
21,21,0.9629399895668028,0.14492008090019226,5660.0,0.13955926895141602,0.963599979877472,6400.0,35.94,5,0.2,2,1,0.0,38,12,0.3333333333333333
22,22,0.9552333255608876,0.17079639931519827,6566.666666666668,0.168598935008049,0.9550999999046326,5700.0,67.11,5,0.2,2,1,0.0,30,9,0.4
23,23,0.9518000185489656,0.17861370742321014,6650.0,0.1762845516204834,0.9520000219345092,6900.0,35.94,5,0.2,2,1,0.0,24,7,0.13333333333333333
24,24,0.9769090955907648,0.08832997760989449,2354.5454545454545,0.0844622552394867,0.97680002450943,1600.0,83.07,5,0.2,3,1,0.7333333333333333,300,100,0.7333333333333333
25,25,0.976169228553772,0.0941698241692323,2969.230769230769,0.0885777622461319,0.977299988269806,1900.0,73.64,5,0.2,3,1,0.4,240,80,0.8666666666666667
26,26,0.9748000034264156,0.09433677047491074,3107.142857142857,0.08831717818975449,0.9768999814987184,3600.0,48.71,5,0.2,3,1,0.4666666666666667,192,64,0.9333333333333332
27,27,0.9713600039482116,0.09966918230056762,2460.0,0.09647849947214128,0.973699986934662,2300.0,78.87,5,0.2,3,1,0.2,153,51,0.3333333333333333
28,28,0.9721333384513856,0.09687197456757228,2933.333333333333,0.09255532920360564,0.9725000262260436,3400.0,73.64,5,0.2,3,1,0.13333333333333333,122,40,0.4
29,29,0.9719333251317342,0.1027641383310159,3833.333333333334,0.10061752051115036,0.9718999862670898,3600.0,67.1,5,0.2,3,1,0.0,97,32,0.4
30,30,0.9694285818508692,0.11622901793037142,3700.0,0.11266346275806427,0.9695000052452089,3700.0,48.71,5,0.2,3,1,0.0,77,25,0.4666666666666667
31,31,0.9674333135286968,0.12479951977729795,5200.0,0.1211959719657898,0.9679999947547911,5300.0,35.93,5,0.2,3,1,0.0,61,20,0.2
32,32,0.9652999937534332,0.12506601586937904,4700.0,0.124518521130085,0.9649999737739564,4700.0,58.92,5,0.2,3,1,0.0,48,16,0.13333333333333333
33,33,0.9610399961471556,0.13730898797512053,5940.0,0.13392865657806394,0.9628999829292296,6000.0,58.93,5,0.2,3,1,0.0,38,12,0.3333333333333333
34,34,,,,,,,,5,0.2,3,1,0.0,30,9,0.0
35,35,0.9495249837636948,0.19579456374049187,6725.0,0.1932346075773239,0.949899971485138,7600.0,35.94,5,0.2,3,1,0.0,24,7,0.26666666666666666
36,36,0.9756249984105428,0.09038113988935947,2458.333333333333,0.08388815820217133,0.976199984550476,2400.0,83.07,5,0.2,4,1,1.0,300,100,0.8
37,37,0.9753090901808306,0.08958120915022763,2409.090909090909,0.08573367446660995,0.9765999913215636,2800.0,73.64,5,0.2,4,1,0.7333333333333333,240,80,0.7333333333333333
38,38,0.9741909124634482,0.09091996537013487,2827.2727272727275,0.08796118199825287,0.9731000065803528,2700.0,78.87,5,0.2,4,1,0.5333333333333333,192,64,0.7333333333333333
39,39,0.973872721195221,0.0997951552271843,3281.818181818182,0.09724092483520508,0.973200023174286,3000.0,58.92,5,0.2,4,1,0.4,153,51,0.7333333333333333
40,40,0.9713272723284636,0.10230122980746356,3436.3636363636365,0.0982653945684433,0.9708999991416932,4500.0,86.41,5,0.2,4,1,0.0,122,40,0.7333333333333333
41,41,0.9708833197752634,0.1048141544063886,3650.0,0.10277706384658812,0.9711999893188475,3600.0,78.87,5,0.2,4,1,0.0,97,32,0.4
42,42,0.9701499938964844,0.11264323815703392,4050.0,0.10984621942043304,0.9692999720573424,3700.0,73.64,5,0.2,4,1,0.0,77,25,0.4
43,43,0.9670999901635308,0.11857275771243232,4342.857142857143,0.11425048857927322,0.9678999781608582,3400.0,48.7,5,0.2,4,1,0.0,61,20,0.4666666666666667
44,44,0.9637999832630156,0.1392679587006569,4250.0,0.13809047639369965,0.9639999866485596,4800.0,48.7,5,0.2,4,1,0.0,48,16,0.13333333333333333
45,45,0.9646000266075134,0.1320207118988037,4300.0,0.1320207118988037,0.9646000266075134,4300.0,58.93,5,0.2,4,1,0.0,38,12,0.06666666666666668
46,46,0.9575749933719636,0.15349144116044044,7875.0,0.15027324855327606,0.9559999704360962,6200.0,48.71,5,0.2,4,1,0.0,30,9,0.26666666666666666
47,47,0.9466666678587596,0.20122565825780234,8883.333333333334,0.19666865468025208,0.946399986743927,9200.0,19.97,5,0.2,4,1,0.0,24,7,0.4
48,48,0.9751999974250792,0.08799434502919515,2593.333333333333,0.08314129710197449,0.9757999777793884,2700.0,91.24,5,0.2,5,1,1.0,300,100,1.0
49,49,0.9751000006993612,0.08966819047927857,2866.666666666666,0.07887428998947144,0.9764999747276306,2900.0,58.93,5,0.2,5,1,0.9333333333333332,240,80,1.0
50,50,0.9757181785323404,0.09392698312347586,3100.0,0.08761226385831833,0.9763000011444092,2600.0,67.1,5,0.2,5,1,0.7333333333333333,192,64,0.7333333333333333
51,51,0.9732000033060708,0.09954483227597342,2744.444444444445,0.09313326328992844,0.9726999998092652,2800.0,58.92,5,0.2,5,1,0.6,153,51,0.6
52,52,0.9745000004768372,0.10349425673484802,5200.0,0.10349425673484802,0.9745000004768372,5200.0,48.71,5,0.2,5,1,0.2,122,40,0.06666666666666668
53,53,0.9718999862670898,0.10651466250419617,3900.0,0.10254214704036713,0.9721999764442444,2800.0,48.7,5,0.2,5,1,0.13333333333333333,97,32,0.26666666666666666
54,54,0.9688199877738952,0.1141063004732132,3260.0,0.11086245626211166,0.9700999855995178,2700.0,67.1,5,0.2,5,1,0.0,77,25,0.3333333333333333
55,55,0.9692000150680542,0.12176014482975005,4500.0,0.12176014482975005,0.9692000150680542,4500.0,48.7,5,0.2,5,1,0.0,61,20,0.06666666666666668
56,56,0.9635714377675738,0.13988498704774038,5028.571428571428,0.13498757779598236,0.9642000198364258,5700.0,58.92,5,0.2,5,1,0.0,48,16,0.4666666666666667
57,57,,,,,,,,5,0.2,5,1,0.0,38,12,0.0
58,58,,,,,,,,5,0.2,5,1,0.0,30,9,0.0
59,59,0.9503999948501588,0.189924031496048,8300.0,0.189924031496048,0.9503999948501588,8300.0,67.11,5,0.2,5,1,0.0,24,7,0.06666666666666668
60,60,0.976353842478532,0.0849569308070036,2823.0769230769233,0.07962595671415329,0.9764999747276306,2400.0,82.91,5,0.2,4,2,0.9333333333333332,300,100,0.8666666666666667
61,61,0.9752454486760226,0.0904389890757474,2500.0,0.08714559674263,0.975600004196167,2000.0,78.72,5,0.2,4,2,0.7333333333333333,240,80,0.7333333333333333
62,62,0.9736142839704242,0.09326971162642753,2714.285714285714,0.08668690919876099,0.975000023841858,2700.0,73.48,5,0.2,4,2,0.6,192,64,0.9333333333333332
63,63,0.9731272675774314,0.09931075098839673,3090.909090909091,0.09142333269119264,0.9757999777793884,3600.0,82.89,5,0.2,4,2,0.4666666666666667,153,51,0.7333333333333333
64,64,0.9719727310267362,0.10217417302456767,3600.0,0.09438901394605637,0.973699986934662,2400.0,73.47,5,0.2,4,2,0.06666666666666668,122,40,0.7333333333333333
65,65,0.9714999794960022,0.10417963191866876,3600.0,0.10365146398544313,0.9718999862670898,3800.0,58.75,5,0.2,4,2,0.0,97,32,0.13333333333333333
66,66,0.9700500071048735,0.10669525961081187,4216.666666666667,0.10248597711324693,0.9717000126838684,3900.0,73.46,5,0.2,4,2,0.0,77,25,0.4
67,67,,,,,,,,5,0.2,4,2,0.0,61,20,0.0
68,68,0.9651750028133392,0.12719624117016792,5075.0,0.12363438308238985,0.9652000069618224,4900.0,48.51,5,0.2,4,2,0.0,48,16,0.26666666666666666
69,69,0.9653999805450441,0.1373341828584671,6400.0,0.1373341828584671,0.9653999805450441,6400.0,58.72,5,0.2,4,2,0.0,38,12,0.06666666666666668
70,70,0.9565666516621908,0.1675115575393041,6816.666666666668,0.16036872565746307,0.9577999711036682,7000.0,35.73,5,0.2,4,2,0.0,30,9,0.4
71,71,0.9459200024604796,0.2091803163290024,7380.0,0.19699352979660034,0.9488999843597412,9400.0,19.76,5,0.2,4,2,0.0,24,7,0.3333333333333333
72,72,0.9755066672960916,0.08987593601147334,2453.333333333333,0.08539070934057236,0.9760000109672546,2900.0,78.73,5,0.2,5,2,1.0,300,100,1.0
73,73,0.9743428570883614,0.08876918309501239,2514.285714285714,0.08377717435359955,0.9757999777793884,2800.0,58.77,5,0.2,5,2,0.8666666666666667,240,80,0.9333333333333332
74,74,0.9744624942541122,0.09483828395605087,2525.0,0.09126700460910796,0.974399983882904,2400.0,82.9,5,0.2,5,2,0.8,192,64,0.5333333333333333
75,75,0.9726999943906608,0.0976110730658878,2927.2727272727275,0.09343300014734268,0.9728000164031982,1700.0,73.47,5,0.2,5,2,0.6,153,51,0.7333333333333333
76,76,0.973199987411499,0.10348509401082992,3660.0,0.0986424759030342,0.9728999733924866,2700.0,73.47,5,0.2,5,2,0.26666666666666666,122,40,0.3333333333333333
77,77,,,,,,,,5,0.2,5,2,0.0,97,32,0.0
78,78,0.9708666602770488,0.1159046490987142,3633.333333333334,0.1130104884505272,0.9703999757766724,3600.0,48.52,5,0.2,5,2,0.0,77,25,0.2
79,79,0.9682249873876572,0.11947870627045633,4300.0,0.11789486557245255,0.9697999954223632,5400.0,35.74,5,0.2,5,2,0.0,61,20,0.26666666666666666
80,80,,,,,,,,5,0.2,5,2,0.0,48,16,0.0
81,81,0.960999995470047,0.14281807094812393,5850.0,0.14072798192501068,0.9613999724388124,5700.0,66.91,5,0.2,5,2,0.0,38,12,0.13333333333333333
82,82,,,,,,,,5,0.2,5,2,0.0,30,9,0.0
83,83,0.9519999921321868,0.17667275667190552,9150.0,0.17412760853767395,0.9512000083923341,9300.0,35.72,5,0.2,5,2,0.0,24,7,0.13333333333333333
84,84,0.9763083308935164,0.08756094239652157,2333.333333333333,0.08172300457954408,0.977999985218048,2500.0,82.91,5,0.2,1,2,0.6666666666666666,300,100,0.8
85,85,0.9753250032663344,0.09057216408352058,2758.333333333333,0.08700686693191527,0.9772999882698059,2800.0,82.9,5,0.2,1,2,0.7333333333333333,240,80,0.8
86,86,0.9756200075149536,0.09815775752067564,2560.0,0.0958722084760666,0.9764000177383424,2100.0,82.9,5,0.2,1,2,0.5333333333333333,192,64,0.3333333333333333
87,87,0.9745200097560882,0.09580767527222632,2830.0,0.09097585082054138,0.97680002450943,2600.0,78.71,5,0.2,1,2,0.4,153,51,0.6666666666666666
88,88,0.9730750024318696,0.09667313005775212,3350.0,0.093420572578907,0.9732000231742859,3000.0,73.47,5,0.2,1,2,0.06666666666666668,122,40,0.5333333333333333
89,89,0.9707750156521796,0.11079513095319272,3287.5,0.1070408821105957,0.9717000126838684,2500.0,58.75,5,0.2,1,2,0.2,97,32,0.5333333333333333
90,90,0.9699399948120118,0.11122709959745407,4140.0,0.10408323258161543,0.972000002861023,3400.0,58.74,5,0.2,1,2,0.0,77,25,0.6666666666666666
91,91,0.9688999950885772,0.11794238910079002,5000.0,0.11735697835683825,0.968999981880188,4500.0,66.91,5,0.2,1,2,0.0,61,20,0.13333333333333333
92,92,0.9657500088214874,0.13352305442094806,5300.0,0.1311468780040741,0.9659000039100648,4000.0,73.44,5,0.2,1,2,0.0,48,16,0.13333333333333333
93,93,0.9619666635990144,0.1356489062309265,6483.333333333332,0.13018305599689484,0.9616000056266784,4200.0,48.51,5,0.2,1,2,0.0,38,12,0.4
94,94,0.9584999879201254,0.16195925325155258,6216.666666666668,0.1569322794675827,0.9575999975204468,5200.0,66.9,5,0.2,1,2,0.0,30,9,0.4
95,95,,,,,,,,5,0.2,1,2,0.0,24,7,0.0
96,96,0.9756285633359636,0.08761683851480484,1985.7142857142856,0.08371207118034363,0.9765999913215636,1800.0,86.26,5,0.2,2,2,0.3333333333333333,300,100,0.4666666666666667
97,97,0.9759769256298358,0.08725657543310752,2700.0,0.08083707094192505,0.9772999882698059,3000.0,88.93,5,0.2,2,2,0.26666666666666666,240,80,0.8666666666666667
98,98,0.9736499956675938,0.09461169530238424,2671.428571428572,0.08841274678707123,0.9745000004768372,1700.0,78.71,5,0.2,2,2,0.0,192,64,0.9333333333333332
99,99,0.9731583396593728,0.10029872072239716,2725.0,0.09299860894680023,0.9725000262260436,2700.0,48.54,5,0.2,2,2,0.0,153,51,0.8
100,100,0.9716166655222574,0.09975901370247203,3033.333333333333,0.09275951236486436,0.9726999998092652,3300.0,78.7,5,0.2,2,2,0.0,122,40,0.4
101,101,0.9725750088691713,0.10342907346785067,3150.0,0.09916041046380997,0.9724000096321106,2600.0,58.75,5,0.2,2,2,0.0,97,32,0.26666666666666666
102,102,0.9684899926185608,0.11907737627625466,4130.0,0.11415253579616548,0.9697999954223632,3600.0,66.92,5,0.2,2,2,0.0,77,25,0.6666666666666666
103,103,0.9671571510178704,0.11710852810314724,4757.142857142857,0.1114351972937584,0.9671000242233276,4300.0,35.74,5,0.2,2,2,0.0,61,20,0.4666666666666667
104,104,0.9639999866485596,0.13225539028644562,6100.0,0.13225539028644562,0.9639999866485596,6100.0,58.72,5,0.2,2,2,0.0,48,16,0.06666666666666668
105,105,0.9623000025749208,0.14247941970825195,5133.333333333333,0.13841433823108673,0.9625999927520752,5400.0,35.73,5,0.2,2,2,0.0,38,12,0.2
106,106,0.9540500044822692,0.1732315570116043,7200.0,0.17131012678146362,0.9538999795913696,8100.0,35.72,5,0.2,2,2,0.0,30,9,0.26666666666666666
107,107,0.9504499733448027,0.1827135682106018,6550.0,0.1786406934261322,0.9509999752044678,6000.0,35.72,5,0.2,2,2,0.0,24,7,0.13333333333333333
108,108,0.9764428521905628,0.0877885605607714,2492.857142857143,0.08277104049921036,0.9781000018119812,2000.0,58.77,5,0.2,3,2,0.8,300,100,0.9333333333333332
109,109,0.9761000058867716,0.08928816020488739,2509.090909090909,0.08470513671636581,0.977999985218048,1900.0,73.49,5,0.2,3,2,0.6666666666666666,240,80,0.7333333333333333
110,110,0.9753285689013343,0.09275721066764422,3192.857142857143,0.08747827261686325,0.9751999974250792,2700.0,78.71,5,0.2,3,2,0.5333333333333333,192,64,0.9333333333333332
111,111,0.9742727333849128,0.0961917361075228,3190.909090909091,0.08940640836954117,0.9733999967575072,2400.0,66.93,5,0.2,3,2,0.2,153,51,0.7333333333333333
112,112,0.9742666681607564,0.10058945044875144,2633.333333333333,0.09906035661697388,0.9742000102996826,2400.0,66.93,5,0.2,3,2,0.06666666666666668,122,40,0.4
113,113,0.9714999993642172,0.10386611521244048,3533.333333333333,0.1020289957523346,0.9726999998092652,3600.0,73.46,5,0.2,3,2,0.0,97,32,0.2
114,114,0.9694499969482422,0.11490397527813913,3400.0,0.11422475427389145,0.9696999788284302,3600.0,78.69,5,0.2,3,2,0.0,77,25,0.13333333333333333
115,115,0.9685750007629396,0.12446006760001185,3575.0,0.119957335293293,0.968500018119812,3600.0,48.52,5,0.2,3,2,0.0,61,20,0.26666666666666666
116,116,0.9642000198364258,0.12915246188640594,5300.0,0.12915246188640594,0.9642000198364258,5300.0,35.73,5,0.2,3,2,0.0,48,16,0.06666666666666668
117,117,0.9624999761581421,0.1447080224752426,5600.0,0.1447080224752426,0.9624999761581421,5600.0,35.73,5,0.2,3,2,0.0,38,12,0.06666666666666668
118,118,0.9556999802589417,0.164349265396595,5200.0,0.16033613681793213,0.9556999802589417,5400.0,48.51,5,0.2,3,2,0.0,30,9,0.13333333333333333
119,119,,,,,,,,5,0.2,3,2,0.0,24,7,0.0
120,0,0.9751111092390836,0.08761867466900082,2233.333333333333,0.08177515119314194,0.9757999777793884,2000.0,89.98,5,0.1,2,1,0.78125,300,100,0.84375
121,1,0.974683331946532,0.09007608828445277,2400.0,0.08414314687252045,0.9746999740600586,2800.0,74.44,5,0.1,2,1,0.59375,240,80,0.75
122,2,0.9751608708630436,0.09480422864789548,2895.652173913043,0.09035367518663406,0.976199984550476,2700.0,56.84,5,0.1,2,1,0.6875,192,64,0.71875
123,3,0.9736941176302292,0.09781890756943648,3070.5882352941176,0.09186536073684692,0.9735999703407288,2700.0,79.25,5,0.1,2,1,0.15625,153,51,0.53125
124,4,0.9728499998648962,0.10025857606281836,3212.5,0.09390167891979218,0.973200023174286,3600.0,46.76,5,0.1,2,1,0.0625,122,40,0.75
125,5,0.9700333277384441,0.10704203446706136,4066.666666666666,0.10440393537282944,0.9696999788284302,3600.0,61.14,5,0.1,2,1,0.0,97,32,0.09375
126,6,0.9692666610081992,0.11473654409249626,3686.666666666666,0.104719340801239,0.9700999855995178,3800.0,71.62,5,0.1,2,1,0.0,77,25,0.46875
127,7,0.968209993839264,0.12474729418754578,4610.0,0.1197173222899437,0.9695000052452089,4500.0,52.07,5,0.1,2,1,0.0,61,20,0.3125
128,8,0.9651999870936075,0.1362691124280294,4766.666666666667,0.1329333633184433,0.9646999835968018,4400.0,61.14,5,0.1,2,1,0.0,48,16,0.09375
129,9,0.962072730064392,0.1468837775967338,5845.454545454545,0.14080464839935306,0.9616000056266784,6700.0,40.88,5,0.1,2,1,0.0,38,12,0.34375
130,10,,,,,,,,5,0.1,2,1,0.0,30,9,0.0
131,11,0.9494000077247621,0.1956038773059845,7300.0,0.1956038773059845,0.9494000077247621,7300.0,9.99,5,0.1,2,1,0.0,24,7,0.03125
132,12,0.9760363589633596,0.08621513945135204,2568.181818181818,0.08155623078346252,0.9760000109672546,2000.0,83.17,5,0.1,4,1,0.90625,300,100,0.6875
133,13,0.9755444438369186,0.09164889708713247,2562.962962962963,0.08496593683958054,0.9789999723434448,2700.0,90.96,5,0.1,4,1,0.90625,240,80,0.84375
134,14,0.9748363549059088,0.09135788069529968,2372.7272727272725,0.08680266886949539,0.9735999703407288,2100.0,61.14,5,0.1,4,1,0.78125,192,64,0.34375
135,15,,,,,,,,5,0.1,4,1,0.59375,153,51,0.0
136,16,0.9719933311144512,0.09818592617909114,3206.666666666666,0.09539946168661118,0.9710999727249146,3600.0,81.31,5,0.1,4,1,0.03125,122,40,0.46875
137,17,0.972188230823068,0.10903017485842983,3258.8235294117653,0.10132575035095216,0.9732999801635742,3700.0,74.43,5,0.1,4,1,0.125,97,32,0.53125
138,18,0.9699086935623832,0.10820674215969832,4326.086956521739,0.10127388685941696,0.9721999764442444,3700.0,74.44,5,0.1,4,1,0.0,77,25,0.71875
139,19,0.9686687514185904,0.1187952309846878,4437.5,0.11339195817708968,0.9696999788284302,5100.0,68.48,5,0.1,4,1,0.0,61,20,0.5
140,20,0.9663454510948876,0.13264093751257114,5281.818181818182,0.12509915232658386,0.9664000272750854,3600.0,65.0,5,0.1,4,1,0.0,48,16,0.34375
141,21,0.9627499952912332,0.14467071741819382,6762.5,0.1392868310213089,0.9628000259399414,5300.0,56.85,5,0.1,4,1,0.0,38,12,0.25
142,22,,,,,,,,5,0.1,4,1,0.0,30,9,0.0
143,23,0.9460999965667723,0.20045582950115204,6200.0,0.20045582950115204,0.9460999965667723,6200.0,34.33,5,0.1,4,1,0.0,24,7,0.03125
144,24,0.9765781238675116,0.08878915547393262,2409.375,0.08511541783809662,0.9760000109672546,1600.0,83.17,5,0.1,5,1,0.875,300,100,1.0
145,25,0.9742874875664712,0.08916087541729212,2018.75,0.08253256231546402,0.9733999967575072,1800.0,68.49,5,0.1,5,1,0.875,240,80,0.5
146,26,0.9748759961128236,0.09015400975942613,3072.0,0.08517909049987793,0.975499987602234,2200.0,68.49,5,0.1,5,1,0.6875,192,64,0.78125
147,27,0.9742200016975404,0.09585554450750353,2860.0,0.0936695784330368,0.9745000004768372,2900.0,76.97,5,0.1,5,1,0.34375,153,51,0.15625
148,28,0.9724421030596684,0.10458581384859587,3294.736842105264,0.09891396760940553,0.9714999794960022,2600.0,65.0,5,0.1,5,1,0.3125,122,40,0.59375
149,29,0.970959993203481,0.11586288114388785,2753.333333333333,0.11266764253377914,0.9711999893188475,2700.0,61.14,5,0.1,5,1,0.09375,97,32,0.46875
150,30,0.9697272723371332,0.11248888684944673,3436.3636363636365,0.10926946252584456,0.9696999788284302,3900.0,65.0,5,0.1,5,1,0.0,77,25,0.34375
151,31,0.9692299962043762,0.12200081124901772,4700.0,0.11755234003067015,0.9692999720573424,4500.0,56.84,5,0.1,5,1,0.0,61,20,0.3125
152,32,0.9644999844687324,0.13919526551451006,3985.714285714286,0.13381388783454895,0.9659000039100648,4200.0,52.06,5,0.1,5,1,0.0,48,16,0.21875
153,33,0.9623583306868873,0.1474162315328916,5225.0,0.14021193981170654,0.963699996471405,4900.0,52.07,5,0.1,5,1,0.0,38,12,0.375
154,34,,,,,,,,5,0.1,5,1,0.0,30,9,0.0
155,35,0.9513999819755554,0.1899033784866333,6200.0,0.1899033784866333,0.9513999819755554,6200.0,27.06,5,0.1,5,1,0.0,24,7,0.03125
156,36,0.9759625022610028,0.08982818480581045,2145.833333333333,0.08375755697488785,0.977400004863739,1900.0,83.17,5,0.1,1,1,0.71875,300,100,0.75
157,37,0.9755444427331288,0.08718180780609447,2322.222222222222,0.08405077457427979,0.97680002450943,2000.0,79.26,5,0.1,1,1,0.59375,240,80,0.5625
158,38,0.9741833259661992,0.09372841659933327,2950.0,0.08896635472774506,0.9747999906539916,3600.0,27.05,5,0.1,1,1,0.46875,192,64,0.75
159,39,0.9735961510584904,0.09504219889640808,3303.8461538461547,0.08886373788118362,0.973699986934662,2300.0,74.43,5,0.1,1,1,0.25,153,51,0.8125
160,40,0.9715999925837796,0.10167416053659777,2541.1764705882347,0.0963602066040039,0.972599983215332,2600.0,81.31,5,0.1,1,1,0.28125,122,40,0.53125
161,41,0.9715705934692832,0.10713268027586097,3505.8823529411766,0.1021156683564186,0.9725000262260436,2600.0,61.14,5,0.1,1,1,0.09375,97,32,0.53125
162,42,0.9711799919605256,0.11245034486055376,3740.0,0.10708204656839372,0.9710999727249146,3900.0,56.84,5,0.1,1,1,0.03125,77,25,0.3125
163,43,0.9695666631062826,0.12138986960053445,4266.666666666667,0.119255430996418,0.9704999923706056,4400.0,61.14,5,0.1,1,1,0.0,61,20,0.1875
164,44,0.9673499912023544,0.1296125166118145,5650.0,0.12784184515476227,0.9667999744415284,6100.0,52.06,5,0.1,1,1,0.0,48,16,0.125
165,45,0.9632999897003174,0.14600927382707596,6650.0,0.140480637550354,0.963599979877472,6100.0,46.77,5,0.1,1,1,0.0,38,12,0.0625
166,46,0.9581857153347559,0.1672459159578596,5742.857142857143,0.1626954972743988,0.9570999741554259,4800.0,34.33,5,0.1,1,1,0.0,30,9,0.21875
167,47,,,,,,,,5,0.1,1,1,0.0,24,7,0.0
168,48,0.976462068228886,0.08640648321858768,2448.2758620689656,0.077848419547081,0.977400004863739,2700.0,74.44,5,0.1,3,1,0.84375,300,100,0.90625
169,49,0.9749629629982842,0.08728679655878632,2462.962962962963,0.0837048664689064,0.9764999747276306,2800.0,74.44,5,0.1,3,1,0.46875,240,80,0.84375
170,50,0.9751454483379016,0.08972277424552222,2172.7272727272725,0.08497560769319534,0.9757000207901,1800.0,76.97,5,0.1,3,1,0.5,192,64,0.34375
171,51,0.9746999939282736,0.09695223222176234,3600.0,0.09533675760030746,0.9746999740600586,2800.0,61.14,5,0.1,3,1,0.0,153,51,0.09375
172,52,0.9732125028967856,0.09839477017521857,2925.0,0.09497789293527603,0.9732999801635742,3400.0,34.32,5,0.1,3,1,0.0,122,40,0.25
173,53,0.9707642878804889,0.10672555544546672,3257.142857142857,0.10205823928117752,0.9718999862670898,3000.0,71.61,5,0.1,3,1,0.0,97,32,0.4375
174,54,0.9678590920838442,0.11608602783896706,4368.181818181818,0.10770320892333984,0.968500018119812,3300.0,46.76,5,0.1,3,1,0.0,77,25,0.6875
175,55,0.9678200046221416,0.1239869311451912,3706.666666666666,0.11808612197637558,0.9696999788284302,3600.0,61.14,5,0.1,3,1,0.0,61,20,0.46875
176,56,0.9640545465729452,0.12786642665212805,5581.818181818182,0.1251649558544159,0.9639000296592712,4900.0,61.14,5,0.1,3,1,0.0,48,16,0.34375
177,57,,,,,,,,5,0.1,3,1,0.0,38,12,0.0
178,58,,,,,,,,5,0.1,3,1,0.0,30,9,0.0
179,59,,,,,,,,5,0.1,3,1,0.0,24,7,0.0
